date,canton,severity,road_condition,vehicle_type,road_type,week,year,day_of_week,month
2020-01-01 00:00:00.000000,ZG,light,wet,car,side_road,1,2020,Wednesday,1
2020-01-01 01:45:08.461692,NE,light,wet,motorcycle,highway,1,2020,Wednesday,1
2020-01-01 03:30:16.923384,AG,serious,dry,car,main_road,1,2020,Wednesday,1
2020-01-01 05:15:25.385077,SG,light,icy,car,side_road,1,2020,Wednesday,1
2020-01-01 07:00:33.846769,BE,serious,wet,car,main_road,1,2020,Wednesday,1
2020-01-01 08:45:42.308461,BE,light,snow,car,side_road,1,2020,Wednesday,1
2020-01-01 10:30:50.770154,ZH,light,dry,car,side_road,1,2020,Wednesday,1
2020-01-01 12:15:59.231846,VD,light,icy,car,highway,1,2020,Wednesday,1
2020-01-01 14:01:07.693538,SG,light,snow,car,side_road,1,2020,Wednesday,1
2020-01-01 15:46:16.155231,AG,light,snow,car,main_road,1,2020,Wednesday,1
2020-01-01 17:31:24.616923,ZH,light,snow,car,main_road,1,2020,Wednesday,1
2020-01-01 19:16:33.078615,GE,light,snow,car,highway,1,2020,Wednesday,1
2020-01-01 21:01:41.540308,VD,light,snow,bicycle,highway,1,2020,Wednesday,1
2020-01-01 22:46:50.002000,BE,light,wet,car,main_road,1,2020,Wednesday,1
2020-01-02 00:31:58.463692,BE,light,icy,truck,main_road,1,2020,Thursday,1
2020-01-02 02:17:06.925385,BE,light,dry,truck,side_road,1,2020,Thursday,1
2020-01-02 04:02:15.387077,UR,light,dry,car,side_road,1,2020,Thursday,1
2020-01-02 05:47:23.848769,BL,light,dry,motorcycle,side_road,1,2020,Thursday,1
2020-01-02 07:32:32.310462,FR,light,dry,car,main_road,1,2020,Thursday,1
2020-01-02 09:17:40.772154,LU,serious,dry,car,main_road,1,2020,Thursday,1
2020-01-02 11:02:49.233846,SG,light,dry,car,main_road,1,2020,Thursday,1
2020-01-02 12:47:57.695539,BE,light,dry,truck,main_road,1,2020,Thursday,1
2020-01-02 14:33:06.157231,LU,serious,snow,car,main_road,1,2020,Thursday,1
2020-01-02 16:18:14.618923,GL,light,dry,motorcycle,side_road,1,2020,Thursday,1
2020-01-02 18:03:23.080616,SO,serious,snow,car,main_road,1,2020,Thursday,1
2020-01-02 19:48:31.542308,TI,light,dry,truck,main_road,1,2020,Thursday,1
2020-01-02 21:33:40.004000,BE,light,snow,car,highway,1,2020,Thursday,1
2020-01-02 23:18:48.465693,BS,light,snow,car,highway,1,2020,Thursday,1
2020-01-03 01:03:56.927385,AI,light,icy,car,main_road,1,2020,Friday,1
2020-01-03 02:49:05.389077,ZH,light,icy,car,highway,1,2020,Friday,1
2020-01-03 04:34:13.850770,SG,light,dry,car,side_road,1,2020,Friday,1
2020-01-03 06:19:22.312462,BE,light,snow,bicycle,highway,1,2020,Friday,1
2020-01-03 08:04:30.774154,ZH,light,snow,car,side_road,1,2020,Friday,1
2020-01-03 09:49:39.235847,NE,light,snow,bicycle,main_road,1,2020,Friday,1
2020-01-03 11:34:47.697539,GE,light,icy,car,highway,1,2020,Friday,1
2020-01-03 13:19:56.159231,TI,light,wet,truck,side_road,1,2020,Friday,1
2020-01-03 15:05:04.620924,UR,light,snow,car,main_road,1,2020,Friday,1
2020-01-03 16:50:13.082616,ZH,serious,dry,car,main_road,1,2020,Friday,1
2020-01-03 18:35:21.544308,AG,light,icy,truck,side_road,1,2020,Friday,1
2020-01-03 20:20:30.006001,SO,serious,dry,car,highway,1,2020,Friday,1
2020-01-03 22:05:38.467693,ZH,light,snow,car,main_road,1,2020,Friday,1
2020-01-03 23:50:46.929385,BS,light,dry,car,side_road,1,2020,Friday,1
2020-01-04 01:35:55.391078,ZH,light,dry,car,side_road,1,2020,Saturday,1
2020-01-04 03:21:03.852770,VS,light,icy,car,main_road,1,2020,Saturday,1
2020-01-04 05:06:12.314462,LU,light,snow,motorcycle,highway,1,2020,Saturday,1
2020-01-04 06:51:20.776155,GR,light,icy,car,side_road,1,2020,Saturday,1
2020-01-04 08:36:29.237847,UR,light,dry,car,main_road,1,2020,Saturday,1
2020-01-04 10:21:37.699539,BL,light,dry,car,highway,1,2020,Saturday,1
2020-01-04 12:06:46.161232,BL,light,snow,car,main_road,1,2020,Saturday,1
2020-01-04 13:51:54.622924,BE,light,snow,car,side_road,1,2020,Saturday,1
2020-01-04 15:37:03.084616,GE,light,snow,truck,highway,1,2020,Saturday,1
2020-01-04 17:22:11.546309,TI,light,wet,motorcycle,side_road,1,2020,Saturday,1
2020-01-04 19:07:20.008001,VS,light,snow,car,main_road,1,2020,Saturday,1
2020-01-04 20:52:28.469693,VD,light,wet,truck,main_road,1,2020,Saturday,1
2020-01-04 22:37:36.931386,SG,light,icy,car,side_road,1,2020,Saturday,1
2020-01-05 00:22:45.393078,VS,light,wet,motorcycle,side_road,1,2020,Sunday,1
2020-01-05 02:07:53.854770,ZH,light,wet,car,main_road,1,2020,Sunday,1
2020-01-05 03:53:02.316463,BE,light,snow,car,highway,1,2020,Sunday,1
2020-01-05 05:38:10.778155,ZH,light,icy,car,side_road,1,2020,Sunday,1
2020-01-05 07:23:19.239847,SZ,light,wet,car,side_road,1,2020,Sunday,1
2020-01-05 09:08:27.701540,ZG,serious,dry,car,main_road,1,2020,Sunday,1
2020-01-05 10:53:36.163232,LU,serious,dry,car,main_road,1,2020,Sunday,1
2020-01-05 12:38:44.624924,VD,light,icy,car,side_road,1,2020,Sunday,1
2020-01-05 14:23:53.086617,NW,light,dry,car,side_road,1,2020,Sunday,1
2020-01-05 16:09:01.548309,LU,light,dry,car,side_road,1,2020,Sunday,1
2020-01-05 17:54:10.010002,BL,light,icy,car,main_road,1,2020,Sunday,1
2020-01-05 19:39:18.471694,BE,light,icy,car,main_road,1,2020,Sunday,1
2020-01-05 21:24:26.933386,TI,light,snow,car,side_road,1,2020,Sunday,1
2020-01-05 23:09:35.395079,ZH,serious,icy,car,main_road,1,2020,Sunday,1
2020-01-06 00:54:43.856771,GE,light,snow,bicycle,main_road,2,2020,Monday,1
2020-01-06 02:39:52.318463,TI,light,snow,bicycle,main_road,2,2020,Monday,1
2020-01-06 04:25:00.780156,BE,light,snow,car,highway,2,2020,Monday,1
2020-01-06 06:10:09.241848,ZH,light,icy,car,main_road,2,2020,Monday,1
2020-01-06 07:55:17.703540,TI,light,wet,car,side_road,2,2020,Monday,1
2020-01-06 09:40:26.165233,AG,serious,snow,bicycle,side_road,2,2020,Monday,1
2020-01-06 11:25:34.626925,AG,light,dry,car,main_road,2,2020,Monday,1
2020-01-06 13:10:43.088617,TI,light,dry,car,highway,2,2020,Monday,1
2020-01-06 14:55:51.550310,ZH,light,wet,car,main_road,2,2020,Monday,1
2020-01-06 16:41:00.012002,NW,light,dry,car,side_road,2,2020,Monday,1
2020-01-06 18:26:08.473694,ZH,light,snow,car,main_road,2,2020,Monday,1
2020-01-06 20:11:16.935387,VD,light,icy,car,side_road,2,2020,Monday,1
2020-01-06 21:56:25.397079,SG,light,icy,car,main_road,2,2020,Monday,1
2020-01-06 23:41:33.858771,SZ,light,icy,car,main_road,2,2020,Monday,1
2020-01-07 01:26:42.320464,ZH,light,wet,car,side_road,2,2020,Tuesday,1
2020-01-07 03:11:50.782156,UR,light,dry,car,highway,2,2020,Tuesday,1
2020-01-07 04:56:59.243848,SZ,light,icy,car,main_road,2,2020,Tuesday,1
2020-01-07 06:42:07.705541,AG,light,snow,truck,main_road,2,2020,Tuesday,1
2020-01-07 08:27:16.167233,SG,light,wet,car,highway,2,2020,Tuesday,1
2020-01-07 10:12:24.628925,VD,light,snow,car,main_road,2,2020,Tuesday,1
2020-01-07 11:57:33.090618,SO,light,dry,car,main_road,2,2020,Tuesday,1
2020-01-07 13:42:41.552310,ZH,light,dry,car,side_road,2,2020,Tuesday,1
2020-01-07 15:27:50.014002,AG,light,dry,car,side_road,2,2020,Tuesday,1
2020-01-07 17:12:58.475695,TG,light,wet,car,side_road,2,2020,Tuesday,1
2020-01-07 18:58:06.937387,SH,light,snow,car,main_road,2,2020,Tuesday,1
2020-01-07 20:43:15.399079,TI,light,snow,car,side_road,2,2020,Tuesday,1
2020-01-07 22:28:23.860772,BS,light,wet,car,main_road,2,2020,Tuesday,1
2020-01-08 00:13:32.322464,BL,light,icy,car,main_road,2,2020,Wednesday,1
2020-01-08 01:58:40.784156,FR,light,snow,car,main_road,2,2020,Wednesday,1
2020-01-08 03:43:49.245849,ZH,light,dry,car,side_road,2,2020,Wednesday,1
2020-01-08 05:28:57.707541,ZH,light,dry,car,highway,2,2020,Wednesday,1
2020-01-08 07:14:06.169233,ZH,light,snow,car,side_road,2,2020,Wednesday,1
