date,canton,temp_max,temp_min,precipitation,snowfall,snow_depth,weather_code,wind_speed,weather_condition,week,year
2020-01-01,ZH,-4.2,-11.7,0.3,6.1,6.0,0,1.7,Clear sky,1,2020
2020-01-02,ZH,-7.7,-15.8,1.3,0.1,6.0,71,6.6,Snow,1,2020
2020-01-03,ZH,-6.1,-15.1,2.0,4.8,11.0,71,6.6,Snow,1,2020
2020-01-04,ZH,-6.6,-17.1,3.8,1.6,13.0,71,23.3,Snow,1,2020
2020-01-05,ZH,-2.4,-8.9,5.1,0.4,13.0,71,1.0,Snow,1,2020
2020-01-06,ZH,-6.2,-17.1,2.6,0.2,13.0,71,10.6,Snow,2,2020
2020-01-07,ZH,-3.5,-11.4,0.8,3.2,16.0,71,0.0,Snow,2,2020
2020-01-08,ZH,1.0,-5.4,1.1,4.2,19.0,61,6.6,Rain,2,2020
2020-01-09,ZH,-1.2,-9.4,1.9,6.7,25.0,71,2.2,Snow,2,2020
2020-01-10,ZH,-6.3,-13.0,2.7,20.7,46.0,71,5.4,Snow,2,2020
2020-01-11,ZH,-6.0,-13.8,1.3,6.4,52.0,71,19.3,Snow,2,2020
2020-01-12,ZH,-3.6,-14.6,2.2,0.0,52.0,71,7.5,Snow,2,2020
2020-01-13,ZH,-10.0,-14.2,0.7,2.5,55.0,71,11.5,Snow,3,2020
2020-01-14,ZH,-7.6,-15.7,0.3,6.5,61.0,0,6.2,Clear sky,3,2020
2020-01-15,ZH,-3.5,-11.5,1.1,0.6,62.0,71,21.2,Snow,3,2020
2020-01-16,ZH,-5.4,-12.7,0.1,0.5,62.0,0,8.6,Clear sky,3,2020
2020-01-17,ZH,0.8,-6.3,0.9,14.7,75.0,0,2.1,Clear sky,3,2020
2020-01-18,ZH,-6.8,-16.2,0.9,7.8,83.0,71,15.0,Snow,3,2020
2020-01-19,ZH,-8.1,-14.9,5.7,12.3,95.0,71,2.1,Snow,3,2020
2020-01-20,ZH,-7.7,-9.9,0.8,3.4,99.0,71,18.5,Snow,4,2020
2020-01-21,ZH,-4.9,-9.9,3.8,4.0,103.0,71,22.8,Snow,4,2020
2020-01-22,ZH,-5.5,-12.9,1.0,0.4,103.0,71,10.5,Snow,4,2020
2020-01-23,ZH,1.7,-8.1,4.3,6.1,107.0,61,14.3,Rain,4,2020
2020-01-24,ZH,-6.2,-15.3,5.0,1.8,109.0,71,4.1,Snow,4,2020
2020-01-25,ZH,-4.8,-8.5,0.1,16.1,125.0,0,1.6,Clear sky,4,2020
2020-01-26,ZH,-2.3,-11.4,1.7,11.9,137.0,71,4.4,Snow,4,2020
2020-01-27,ZH,-5.3,-13.5,4.3,0.6,138.0,71,1.2,Snow,5,2020
2020-01-28,ZH,-3.3,-10.3,3.2,1.4,139.0,71,7.5,Snow,5,2020
2020-01-29,ZH,-3.8,-10.8,1.0,0.7,140.0,71,3.8,Snow,5,2020
2020-01-30,ZH,-2.5,-11.7,1.9,2.1,142.0,71,4.1,Snow,5,2020
2020-01-31,ZH,-9.2,-17.8,0.7,19.2,161.0,71,38.2,Snow,5,2020
2020-02-01,ZH,2.9,-3.1,1.8,0.0,159.0,61,1.6,Rain,5,2020
2020-02-02,ZH,0.1,-5.7,1.2,11.3,168.0,61,7.8,Rain,5,2020
2020-02-03,ZH,1.1,-7.2,1.2,1.9,168.0,61,9.7,Rain,6,2020
2020-02-04,ZH,-0.7,-12.4,3.7,3.3,172.0,71,16.8,Snow,6,2020
2020-02-05,ZH,5.5,-4.6,3.0,0.0,170.0,61,16.1,Rain,6,2020
2020-02-06,ZH,-5.6,-14.8,5.6,4.2,174.0,71,15.3,Snow,6,2020
2020-02-07,ZH,4.7,-1.2,0.1,0.0,172.0,0,10.4,Clear sky,6,2020
2020-02-08,ZH,-1.5,-7.9,0.9,5.5,177.0,71,13.7,Snow,6,2020
2020-02-09,ZH,5.1,-4.2,1.7,0.0,175.0,61,25.1,Rain,6,2020
2020-02-10,ZH,4.2,-5.4,0.6,0.0,173.0,0,4.2,Clear sky,7,2020
2020-02-11,ZH,3.5,-2.8,0.7,0.0,171.0,0,2.7,Clear sky,7,2020
2020-02-12,ZH,3.0,-4.7,0.7,0.0,169.0,0,2.3,Clear sky,7,2020
2020-02-13,ZH,7.3,1.0,0.5,0.0,167.0,0,8.9,Clear sky,7,2020
2020-02-14,ZH,-1.3,-8.1,2.6,1.3,169.0,71,3.2,Snow,7,2020
2020-02-15,ZH,-1.2,-11.3,0.5,3.5,172.0,0,34.4,Clear sky,7,2020
2020-02-16,ZH,-1.5,-8.9,0.3,6.5,179.0,0,6.6,Clear sky,7,2020
2020-02-17,ZH,3.3,-2.9,0.4,0.0,177.0,0,25.2,Clear sky,8,2020
2020-02-18,ZH,-3.4,-8.4,3.7,10.9,188.0,71,14.3,Snow,8,2020
2020-02-19,ZH,3.5,-4.2,0.4,0.0,186.0,0,49.9,Clear sky,8,2020
2020-02-20,ZH,-0.4,-7.7,3.5,0.7,186.0,71,13.6,Snow,8,2020
2020-02-21,ZH,-2.7,-13.6,2.3,14.1,200.0,71,6.0,Snow,8,2020
2020-02-22,ZH,-2.7,-9.0,3.8,9.1,209.0,71,7.5,Snow,8,2020
2020-02-23,ZH,-1.9,-8.0,7.7,0.3,210.0,71,0.9,Snow,8,2020
2020-02-24,ZH,-4.0,-13.2,4.1,3.6,213.0,71,13.1,Snow,9,2020
2020-02-25,ZH,2.0,-6.4,2.0,0.0,211.0,61,5.9,Rain,9,2020
2020-02-26,ZH,3.1,-4.9,1.4,0.0,209.0,61,6.7,Rain,9,2020
2020-02-27,ZH,3.4,-4.9,2.5,0.0,207.0,61,0.7,Rain,9,2020
2020-02-28,ZH,-1.4,-8.5,0.8,0.6,208.0,71,15.9,Snow,9,2020
2020-02-29,ZH,1.4,-6.7,1.0,2.8,209.0,0,2.1,Clear sky,9,2020
2020-03-01,ZH,8.0,-1.5,1.5,0.0,207.0,61,3.3,Rain,9,2020
2020-03-02,ZH,10.1,4.3,0.2,0.0,205.0,0,9.8,Clear sky,10,2020
2020-03-03,ZH,9.3,-0.4,3.8,0.0,203.0,61,13.5,Rain,10,2020
2020-03-04,ZH,8.3,-1.9,0.1,0.0,201.0,0,1.0,Clear sky,10,2020
2020-03-05,ZH,2.4,-4.5,1.2,0.0,199.0,61,2.9,Rain,10,2020
2020-03-06,ZH,7.5,-6.3,2.5,0.0,197.0,61,21.1,Rain,10,2020
2020-03-07,ZH,8.3,-3.4,1.4,0.0,195.0,61,25.5,Rain,10,2020
2020-03-08,ZH,5.9,1.3,2.5,0.0,193.0,61,7.1,Rain,10,2020
2020-03-09,ZH,7.2,-2.8,4.8,0.0,191.0,61,58.1,Rain,11,2020
2020-03-10,ZH,4.1,-5.4,3.4,0.0,189.0,61,4.1,Rain,11,2020
2020-03-11,ZH,7.0,1.2,0.7,0.0,187.0,0,5.0,Clear sky,11,2020
2020-03-12,ZH,9.5,0.5,0.6,0.0,185.0,0,7.9,Clear sky,11,2020
2020-03-13,ZH,14.3,7.2,1.5,0.0,183.0,61,0.4,Rain,11,2020
2020-03-14,ZH,5.0,-4.8,0.0,0.0,181.0,0,4.9,Clear sky,11,2020
2020-03-15,ZH,7.9,1.9,1.4,0.0,179.0,61,11.5,Rain,11,2020
2020-03-16,ZH,5.1,-0.9,0.0,0.0,177.0,0,0.3,Clear sky,12,2020
2020-03-17,ZH,7.7,-4.1,1.9,0.0,175.0,61,26.0,Rain,12,2020
2020-03-18,ZH,7.3,-0.7,2.2,0.0,173.0,61,10.1,Rain,12,2020
2020-03-19,ZH,10.5,0.9,0.8,0.0,171.0,0,4.3,Clear sky,12,2020
